distance,max_error,xor_encoding_method,base_len,build_time,check_time,sat
3,1,chain_tseitin,2,0.0029630661010742188,0.00010800361633300781,False
3,2,chain_tseitin,2,0.0011882781982421875,0.00013303756713867188,True
5,3,chain_tseitin,2,0.020548105239868164,0.0016529560089111328,False
5,4,chain_tseitin,2,0.018355846405029297,0.004240989685058594,True
7,4,chain_tseitin,2,0.15547490119934082,0.0460050106048584,False
7,5,chain_tseitin,2,0.1550283432006836,0.0709531307220459,True
9,6,chain_tseitin,2,0.7757658958435059,3.051574945449829,False
9,7,chain_tseitin,2,0.7746057510375977,0.41117095947265625,True
11,7,chain_tseitin,2,2.795058012008667,20.74273109436035,False
11,8,chain_tseitin,2,2.7659590244293213,15.9602530002594,True
13,9,chain_tseitin,2,7.873193979263306,736.5116801261902,False
13,10,chain_tseitin,2,7.930554151535034,34.764808893203735,True
3,1,chain_tseitin,3,0.0011680126190185547,2.8848648071289062e-05,False
3,2,chain_tseitin,3,0.0009100437164306641,0.0001010894775390625,True
5,3,chain_tseitin,3,0.018051862716674805,0.001561880111694336,False
5,4,chain_tseitin,3,0.017590999603271484,0.004169940948486328,True
7,4,chain_tseitin,3,0.15213704109191895,0.045558929443359375,False
7,5,chain_tseitin,3,0.15073680877685547,0.06992578506469727,True
9,6,chain_tseitin,3,0.7742626667022705,3.0333011150360107,False
9,7,chain_tseitin,3,0.768057107925415,0.4057948589324951,True
11,7,chain_tseitin,3,2.7186598777770996,20.720635890960693,False
11,8,chain_tseitin,3,2.7805137634277344,16.146028995513916,True
13,9,chain_tseitin,3,7.887142896652222,736.959020614624,False
13,10,chain_tseitin,3,7.936432123184204,35.13791298866272,True
3,1,tree_tseitin,2,0.0012102127075195312,3.0040740966796875e-05,False
3,2,tree_tseitin,2,0.0009107589721679688,0.0001049041748046875,True
5,3,tree_tseitin,2,0.0183260440826416,0.0016639232635498047,False
5,4,tree_tseitin,2,0.017673969268798828,0.0018489360809326172,True
7,4,tree_tseitin,2,0.15532803535461426,0.04827308654785156,False
7,5,tree_tseitin,2,0.15518999099731445,0.11910605430603027,True
9,6,tree_tseitin,2,0.7890732288360596,3.2089788913726807,False
9,7,tree_tseitin,2,0.771589994430542,0.32349419593811035,True
11,7,tree_tseitin,2,2.7664122581481934,22.5779812335968,False
11,8,tree_tseitin,2,2.7806029319763184,19.329302072525024,True
13,9,tree_tseitin,2,7.9311769008636475,1029.9179787635803,False
13,10,tree_tseitin,2,8.158404111862183,55.70768904685974,True
3,1,tree_tseitin,3,0.0019919872283935547,3.314018249511719e-05,False
3,2,tree_tseitin,3,0.000942230224609375,0.00011301040649414062,True
5,3,tree_tseitin,3,0.018733739852905273,0.0016810894012451172,False
5,4,tree_tseitin,3,0.017787933349609375,0.0018570423126220703,True
7,4,tree_tseitin,3,0.1574568748474121,0.049035072326660156,False
7,5,tree_tseitin,3,0.15476107597351074,0.12036299705505371,True
9,6,tree_tseitin,3,0.8105988502502441,3.1900227069854736,False
9,7,tree_tseitin,3,0.7717339992523193,0.3213319778442383,True
11,7,tree_tseitin,3,2.7696290016174316,22.68412971496582,False
11,8,tree_tseitin,3,2.81850004196167,19.52314305305481,True
13,9,tree_tseitin,3,8.04631495475769,1020.2486548423767,False
13,10,tree_tseitin,3,9.885132074356079,58.925031900405884,True
